reviewerID,asin,overall,reviewText
A105A034ZG9EHO,B0012Y0ZG2,5,yum
A105A034ZG9EHO,B000URXP6E,5,yum
A105A034ZG9EHO,B0009RF9DW,5,yum
A105A034ZG9EHO,B0012Y0ZG2,5,yum
A10JB7YPWZGRF4,B0012Y0ZG2,5,"I continually get compliments on how wonderful I smell whenever I have used this product- especially when using it with the body lotion. I bought this product at Bath and Body during one of their annual sales a year ago and now they no longer carry it. However, other dealers have it online for $ 45 and the lotion for $45  up to 95? I don't know why Bath & Body stopped selling it."
A10JB7YPWZGRF4,B000URXP6E,5,"I continually get compliments on how wonderful I smell whenever I have used this product- especially when using it with the body lotion. I bought this product at Bath and Body during one of their annual sales a year ago and now they no longer carry it. However, other dealers have it online for $ 45 and the lotion for $45  up to 95? I don't know why Bath & Body stopped selling it."
A10JB7YPWZGRF4,B0009RF9DW,5,"I continually get compliments on how wonderful I smell whenever I have used this product- especially when using it with the body lotion. I bought this product at Bath and Body during one of their annual sales a year ago and now they no longer carry it. However, other dealers have it online for $ 45 and the lotion for $45  up to 95? I don't know why Bath & Body stopped selling it."
A10JB7YPWZGRF4,B0012Y0ZG2,5,"I continually get compliments on how wonderful I smell whenever I have used this product- especially when using it with the body lotion. I bought this product at Bath and Body during one of their annual sales a year ago and now they no longer carry it. However, other dealers have it online for $ 45 and the lotion for $45  up to 95? I don't know why Bath & Body stopped selling it."
A10M2MLE2R0L6K,B019FWRG3C,5,"I am a bath person.  I always have been.  I love floral bath salts (not the kind that get you in trouble), and this fits the bill perfectly.  The lavender scent is light and refreshing, surrounding you with a pleasing aroma.  The salts dissolve completely, not leaving gritty residue behind."
A10M2MLE2R0L6K,B001LNODUS,5,"I am a bath person.  I always have been.  I love floral bath salts (not the kind that get you in trouble), and this fits the bill perfectly.  The lavender scent is light and refreshing, surrounding you with a pleasing aroma.  The salts dissolve completely, not leaving gritty residue behind."
A10M2MLE2R0L6K,B000VV1YOY,4,Very nice product.  Makes a very nice base for applying color.
A10M2MLE2R0L6K,B00W259T7G,5,"This is a large bar of soap.  It also has a very pleasant, distinctly feminine floral scent.  It does a good job of cleaning your skin without leaving a residue behind.  I would recommend this soap to any of my female friends."
A10P0NAKKRYKTZ,B0012Y0ZG2,5,Fantastic shower gel. Not only lathers well but also makes the entire bathroom smell nice
A10P0NAKKRYKTZ,B000URXP6E,5,Fantastic shower gel. Not only lathers well but also makes the entire bathroom smell nice
A10P0NAKKRYKTZ,B0009RF9DW,5,Fantastic shower gel. Not only lathers well but also makes the entire bathroom smell nice
A10P0NAKKRYKTZ,B0012Y0ZG2,5,Fantastic shower gel. Not only lathers well but also makes the entire bathroom smell nice
A10ZJZNO4DAVB,B001OHV1H4,5,What the hubby wanted
A10ZJZNO4DAVB,B0012Y0ZG2,5,What the hubby wanted
A10ZJZNO4DAVB,B00006L9LC,5,What the hubby wanted
A10ZJZNO4DAVB,B0012Y0ZG2,5,What the hubby wanted
A1118RD3AJD5KH,B00VG1AV5Q,5,works great
A1118RD3AJD5KH,B0012Y0ZG2,5,works great
A1118RD3AJD5KH,B001OHV1H4,5,works great
A1118RD3AJD5KH,B0012Y0ZG2,5,works great
A115LE3GBAO8I6,B0012Y0ZG2,5,This cream smells incredible and has made my skin so soft.  Try the coordinating hand cream and massage cream.  Love it!
A115LE3GBAO8I6,B000URXP6E,5,This cream smells incredible and has made my skin so soft.  Try the coordinating hand cream and massage cream.  Love it!
A115LE3GBAO8I6,B0009RF9DW,5,This cream smells incredible and has made my skin so soft.  Try the coordinating hand cream and massage cream.  Love it!
A115LE3GBAO8I6,B0012Y0ZG2,5,This cream smells incredible and has made my skin so soft.  Try the coordinating hand cream and massage cream.  Love it!
A11AZPF8R6A1F8,B001OHV1H4,5,"Great product that works well when used together with repair formula conditioner. Love the way my hair felt after shampooing,"
A11AZPF8R6A1F8,B0012Y0ZG2,5,"Great product that works well when used together with repair formula conditioner. Love the way my hair felt after shampooing,"
A11AZPF8R6A1F8,B00006L9LC,5,"Great product that works well when used together with repair formula conditioner. Love the way my hair felt after shampooing,"
A11AZPF8R6A1F8,B0012Y0ZG2,5,"Great product that works well when used together with repair formula conditioner. Love the way my hair felt after shampooing,"
A11L1TI883AOSV,B001OHV1H4,5,"You Just need a little, and it lathers up great. Smells good, leaves my hair shiny and curly, and manageable. My only complaint is for some unknown reason, they stopped making the 32oz. size. Probably because they want you to buy more of the 11oz size."
A11L1TI883AOSV,B0012Y0ZG2,5,"You Just need a little, and it lathers up great. Smells good, leaves my hair shiny and curly, and manageable. My only complaint is for some unknown reason, they stopped making the 32oz. size. Probably because they want you to buy more of the 11oz size."
A11L1TI883AOSV,B00006L9LC,5,"You Just need a little, and it lathers up great. Smells good, leaves my hair shiny and curly, and manageable. My only complaint is for some unknown reason, they stopped making the 32oz. size. Probably because they want you to buy more of the 11oz size."
A11L1TI883AOSV,B0012Y0ZG2,5,"You Just need a little, and it lathers up great. Smells good, leaves my hair shiny and curly, and manageable. My only complaint is for some unknown reason, they stopped making the 32oz. size. Probably because they want you to buy more of the 11oz size."
A11QGZ39A7ZF0X,B01DLR9IDI,5,"Used other products in past, by far the best i have used!"
A11QGZ39A7ZF0X,B01DLR9IDI,5,I use it at night and already see the little lines I had disappearing. My eye area is firming up and very soft. My dark circles are seeming to fade too. I couldn't believe how great this product works!
A11QGZ39A7ZF0X,B01DLR9IDI,5,Works fine. No irritation or oily feeling. Dark circles are getting diminished. It has beennjust a week.
A11QGZ39A7ZF0X,B01DLR9IDI,5,I've been using this eye gel for a week now and love it. It has a light cucumber smell and feels so refreshing.
